Model,Data,Parameters,Accuracy,Sensitivity,Precision,F1 score
Decision Tree,Discretized,gini - 5,0.8636363636363636,0.8833333333333332,0.8833333333333332,0.8761904761904763
Decision Tree,Original,gini - 5,0.8636363636363636,0.8833333333333332,0.8833333333333332,0.8761904761904763
Decision Tree,Standarized,gini - None,0.8181818181818182,0.85,0.8166666666666668,0.8238095238095238
Decision Tree,Discretized,gini - None,0.8181818181818182,0.8083333333333333,0.7833333333333334,0.7914285714285715
Decision Tree,Standarized,gini - 5,0.8181818181818182,0.7833333333333333,0.8547619047619047,0.798095238095238
Decision Tree,Discretized,entropy - 10,0.7727272727272727,0.7916666666666666,0.8761904761904763,0.7933333333333333
Decision Tree,Discretized,entropy - None,0.7727272727272727,0.7833333333333334,0.8,0.787843137254902
Decision Tree,Standarized,entropy - 10,0.7727272727272727,0.7916666666666666,0.7642857142857142,0.7693772893772894
Decision Tree,Standarized,entropy - 5,0.7727272727272727,0.7833333333333334,0.8825396825396826,0.7933333333333333
Decision Tree,Original,gini - None,0.7727272727272727,0.7833333333333334,0.7666666666666667,0.7666666666666667
Decision Tree,Standarized,gini - 10,0.7727272727272727,0.7833333333333334,0.7880952380952382,0.7838095238095238
Decision Tree,Discretized,entropy - 5,0.7272727272727273,0.7583333333333334,0.7777777777777778,0.7561904761904762
Decision Tree,Discretized,gini - 10,0.7272727272727273,0.675,0.7666666666666666,0.701010101010101
Decision Tree,Standarized,entropy - None,0.7272727272727273,0.7583333333333334,0.7357142857142858,0.7386080586080586
Decision Tree,Original,entropy - 5,0.7272727272727273,0.7583333333333334,0.8666666666666668,0.7678571428571429
Decision Tree,Original,gini - 10,0.7272727272727273,0.7583333333333334,0.7595238095238095,0.7538461538461538
Decision Tree,Original,entropy - 10,0.6818181818181818,0.7333333333333334,0.7444444444444445,0.7276190476190476
Decision Tree,Original,entropy - None,0.6818181818181818,0.7333333333333334,0.7071428571428571,0.7119413919413919
Naive Bayes,Original,1e-10,0.5909090909090909,0.5416666666666666,0.576923076923077,0.5052631578947369
Naive Bayes,Discretized,1e-15,0.5909090909090909,0.5416666666666666,0.5213675213675214,0.4719298245614036
Naive Bayes,Discretized,1e-10,0.5909090909090909,0.5416666666666666,0.5213675213675214,0.4719298245614036
Naive Bayes,Standarized,1e-15,0.5909090909090909,0.5416666666666666,0.576923076923077,0.5052631578947369
Naive Bayes,Standarized,1e-10,0.5909090909090909,0.5416666666666666,0.576923076923077,0.5052631578947369
Naive Bayes,Standarized,0.001,0.5909090909090909,0.5416666666666666,0.5213675213675214,0.4719298245614036
Naive Bayes,Original,1e-15,0.5909090909090909,0.5416666666666666,0.576923076923077,0.5052631578947369
Naive Bayes,Discretized,0.001,0.5454545454545454,0.5208333333333334,0.4935897435897436,0.4200779727095516
Naive Bayes,Original,0.001,0.5454545454545454,0.5208333333333334,0.4935897435897436,0.4200779727095516
